ANO;MÊS;GRANDE REGIÃO;PRODUÇÃO
2022;Janeiro;REGIÃO SUDESTE;36814,544
2022;Fevereiro;REGIÃO SUDESTE;36125,567
2022;Março;REGIÃO SUDESTE;34803,7
2022;Abril;REGIÃO SUDESTE;36548,676
2022;Maio;REGIÃO SUDESTE;42120,002
2022;Junho;REGIÃO SUDESTE;38348,731
2022;Janeiro;REGIÃO CENTRO-OESTE;139431,639
2022;Fevereiro;REGIÃO CENTRO-OESTE;168472,449
2022;Março;REGIÃO CENTRO-OESTE;167483,554
2022;Abril;REGIÃO CENTRO-OESTE;153830,372
2022;Maio;REGIÃO CENTRO-OESTE;163533,386
2022;Junho;REGIÃO CENTRO-OESTE;169195,503
2022;Janeiro;REGIÃO SUL;234316,624
2022;Fevereiro;REGIÃO SUL;232677,008
2022;Março;REGIÃO SUL;244382,502
2022;Abril;REGIÃO SUL;226587,044
2022;Maio;REGIÃO SUL;265634,329
2022;Junho;REGIÃO SUL;230832,391
2022;Janeiro;REGIÃO NORTE;4106,721
2022;Fevereiro;REGIÃO NORTE;10290,676
2022;Março;REGIÃO NORTE;7318,374
2022;Abril;REGIÃO NORTE;10034,551
2022;Maio;REGIÃO NORTE;12976,375
2022;Junho;REGIÃO NORTE;11845,968
2022;Janeiro;REGIÃO NORDESTE;43475,224
2022;Fevereiro;REGIÃO NORDESTE;41889,274
2022;Março;REGIÃO NORDESTE;43918,328
2022;Abril;REGIÃO NORDESTE;52669,72
2022;Maio;REGIÃO NORDESTE;51881,207
2022;Junho;REGIÃO NORDESTE;58415,272
